query_id,doc_id,score,rank,is_relevant
3394,112208,16.94559655150853,1,0
3394,172703,16.545998318658015,2,0
3394,87722,16.12215821000632,3,0
3394,445971,14.580648577861133,4,1
3394,345199,14.421978526022283,5,0
3394,377429,13.849464923027526,6,0
3394,387277,13.72994107942157,7,0
3394,133093,13.558391078561407,8,0
3394,418150,12.20495753584538,9,0
3394,539263,11.929931273385634,10,0
5505,100387,26.960694070006372,1,1
5505,141738,19.603350691548105,2,0
5505,278824,16.84343420583432,3,0
5505,70488,15.870911872713279,4,0
5505,349160,13.760354218024261,5,0
5505,478457,13.521405603527088,6,0
5505,200338,13.50099097088625,7,0
5505,408327,12.322236076139507,8,0
5505,442142,12.214350437435822,9,0
5505,593085,12.199133577814194,10,0
6792,558617,13.05280612858237,1,0
6792,400841,8.634017080998861,2,0
6792,29306,8.500952853941424,3,0
6792,136825,8.46760409042267,4,0
6792,259081,8.314093674154773,5,0
6792,40447,8.183536004263821,6,0
6792,480515,7.917995374895977,7,0
6792,156467,7.87942300830149,8,0
6792,545434,7.857475842990938,9,0
6792,585447,7.3054437108622565,10,0
6909,452175,12.915009568158714,1,0
6909,13260,11.6241645532591,2,0
6909,435963,9.970178066759484,3,0
6909,375019,9.775522711983367,4,0
6909,266900,9.402257136981543,5,0
6909,464502,9.107182181802465,6,0
6909,214003,8.92160545525375,7,0
6909,79357,8.86283419848274,8,0
6909,535697,8.72705651262519,9,0
6909,330041,8.596529341045697,10,0
4946,121690,17.464176712172957,1,1
4946,156816,10.578508845930186,2,0
4946,79357,10.09041540454911,3,0
4946,9938,9.537181535243032,4,0
4946,350680,9.243464865020343,5,0
4946,28119,9.181173863676278,6,0
4946,343489,8.906774186978666,7,0
4946,100485,8.719153027397347,8,0
4946,88105,8.6061497770595,9,0
4946,496935,8.306783499040115,10,0
4125,283079,9.864158369725004,1,0
4125,232199,9.541666611953168,2,0
4125,363591,9.35015205002231,3,0
4125,452987,9.151347264281467,4,0
4125,571362,8.61490376777868,5,0
4125,292769,8.421622681436391,6,0
4125,340044,8.010280499390786,7,0
4125,103593,7.895520254556011,8,0
4125,276400,7.8161005981478,9,0
4125,7632,7.809462625221589,10,0
6009,62151,17.718716570866892,1,0
6009,175831,16.25210320840424,2,0
6009,303325,15.163839358624317,3,0
6009,228983,14.731183731557609,4,1
6009,158717,12.984363673138857,5,0
6009,472585,11.607185378108776,6,0
6009,178684,11.375355607982533,7,0
6009,442048,11.3664700556072,8,0
6009,125298,11.33386884243498,9,0
6009,99857,10.851867032016212,10,0
9598,528034,12.194204665260422,1,0
9598,379311,10.959009316431118,2,1
9598,322826,10.80510489144231,3,0
9598,136270,10.59184708089926,4,0
9598,574327,10.488411263285514,5,0
9598,112208,10.399136867955809,6,0
9598,17923,10.336178369070103,7,0
9598,172703,10.317207864490523,8,0
9598,297290,10.309451130836429,9,0
9598,383978,10.013392188037374,10,0
10645,22221,16.116104332276905,1,1
10645,340131,14.908481031339294,2,0
10645,441176,12.945539104425476,3,0
10645,183349,12.443825971259049,4,0
10645,102684,12.12261947182195,5,0
10645,248799,11.929632109833463,6,0
10645,317354,11.249897496281605,7,0
10645,293679,10.065520284035495,8,0
10645,415340,9.721483617354442,9,0
10645,487791,9.243905485557079,10,0
7441,125659,20.65114809259744,1,0
7441,192900,20.030750475967295,2,0
7441,537418,19.79835543416401,3,1
7441,231781,19.765811892336373,4,0
7441,117576,18.385490128504777,5,1
7441,404339,18.039200873266633,6,0
7441,329662,17.2238935335583,7,0
7441,504996,16.96019378637245,8,0
7441,336018,16.863457204273384,9,0
7441,180733,16.855098270513903,10,0
5080,305901,12.197727656606043,1,0
5080,553304,11.902883126732002,2,0
5080,392434,11.232869708107739,3,0
5080,514512,10.778836203970512,4,0
5080,67063,10.585054073589351,5,0
5080,488334,9.831104316377257,6,0
5080,356928,9.711602695310859,7,0
5080,271026,9.696549118783164,8,0
5080,88912,9.449753561249574,9,0
5080,167950,9.134775422393528,10,0
9329,326991,34.475851853357284,1,1
9329,385574,13.675944989250876,2,0
9329,340210,13.554974687285213,3,0
9329,394924,13.259938110271378,4,0
9329,265098,12.610149627460341,5,0
9329,586018,11.47233789366915,6,0
9329,179103,9.177882106504358,7,0
9329,192900,8.594327344674678,8,0
9329,209493,7.2564746911523805,9,0
9329,209065,6.97902338602021,10,0
6479,404339,22.825891491169457,1,1
6479,272008,16.706773389466782,2,1
6479,536120,13.98532171665007,3,0
6479,9938,11.267946555074378,4,0
6479,453839,10.804109235427482,5,0
6479,104793,10.374827127048327,6,0
6479,257656,10.033710349446768,7,0
6479,491969,9.775501462053098,8,0
6479,114439,9.548208990920818,9,0
6479,340210,9.481771155134613,10,0
8513,175821,12.006189002013524,1,0
8513,69790,11.819229888673235,2,0
8513,167950,8.718756367377027,3,0
8513,183612,8.501745128751056,4,0
8513,449039,8.094141105520373,5,0
8513,267113,7.852676536016874,6,0
8513,167896,7.802722524835946,7,0
8513,417840,7.622818176138814,8,0
8513,232712,7.389439829029058,9,0
8513,87667,7.2614321108871485,10,0
10109,93231,21.852728168617126,1,1
10109,28314,20.95314939923668,2,1
10109,535317,15.964556721753043,3,0
10109,395357,13.517551021580905,4,0
10109,124630,10.994916410373408,5,0
10109,244749,10.971029053942086,6,0
10109,305467,10.841601497596104,7,0
10109,116420,10.265830601178916,8,0
10109,474384,9.965365809991294,9,0
10109,105818,8.839663171827397,10,0
4844,275257,40.37035563603706,1,1
4844,367137,35.791473386628766,2,0
4844,192193,33.083047717934456,3,1
4844,111033,25.24400262287572,4,0
4844,235522,21.67936994108825,5,0
4844,549741,19.504325462123468,6,0
4844,140088,19.30324601420383,7,0
4844,386423,18.22068422167368,8,0
4844,144177,17.634052330576836,9,0
4844,409432,17.029238013282544,10,0
8544,214003,20.465868956076456,1,1
8544,37517,19.637219675514373,2,0
8544,336541,15.894198782258037,3,0
8544,75437,15.094344044395179,4,0
8544,13260,14.98275099504134,5,0
8544,100103,14.418394163133131,6,0
8544,416307,13.868855839843773,7,0
8544,12432,13.645174826706247,8,0
8544,561884,13.60920769771915,9,0
8544,111768,13.02262595511515,10,0
4823,561929,24.819766608432417,1,1
4823,362919,18.228307414947274,2,1
4823,340131,15.720476074482924,3,0
4823,104726,15.508872550480028,4,1
4823,11572,14.943745906536389,5,0
4823,7094,13.135051968091222,6,0
4823,2860,12.56047767757772,7,0
4823,459423,11.589089637725598,8,0
4823,252716,11.408985740395917,9,0
4823,271118,11.05632610314896,10,0
1085,366597,13.131723127189384,1,0
1085,405702,12.787124936785323,2,0
1085,485195,12.12711706327218,3,0
1085,374334,11.437551990707824,4,0
1085,108302,10.391386145108012,5,0
1085,581889,10.062197948709436,6,0
1085,94586,10.011736374047848,7,0
1085,184175,9.96421428292205,8,0
1085,401125,9.93968115204212,9,0
1085,315275,9.841391813846936,10,0
2388,104988,21.44330542869271,1,1
2388,300287,13.666791196260494,2,0
2388,13657,12.489291831125684,3,0
2388,123733,12.23268261979327,4,0
2388,459423,10.773377688832817,5,0
2388,565698,10.416230376064073,6,0
2388,423403,9.932905510111036,7,0
2388,157702,9.67246970590676,8,0
2388,141320,9.618321367035211,9,0
2388,429978,9.31131908293159,10,0
6891,474351,28.16479538017511,1,1
6891,492506,11.314547113886135,2,0
6891,504497,9.716696189611243,3,0
6891,558924,9.536265603832037,4,0
6891,264095,9.506446963667122,5,0
6891,381757,9.237767325422684,6,0
6891,323363,9.083950534249418,7,0
6891,579543,8.77900224862453,8,0
6891,143425,8.529552080105152,9,0
6891,73434,8.527068153397668,10,0
2568,346042,12.068811817212442,1,1
2568,164702,11.396934478351508,2,0
2568,170141,10.254178022957662,3,0
2568,13975,10.009479227604107,4,0
2568,544654,9.737156252128681,5,0
2568,130209,9.65114063993341,6,0
2568,428150,9.445896797752386,7,0
2568,269898,9.310281568040903,8,0
2568,368802,9.001975044450178,9,0
2568,213370,8.536520157670957,10,0
